region,district,settlement,settlement_type,latitude,longitude,landscape,atlas_system,question_type,question_id,question,linguistic_unit_1,linguistic_unit_2,linguistic_unit_3,comment,source,year
Удмуртская Республика,Алнашский район,Алнаши,село,56.1873,52.4794,южная лесостепь,ДАРЯ,ДАРЯ: фонетика,1,Произношение согласного /г/ в интервокальной позиции,[g] взрывной,[ɣ] фрикативный,,демонстрационная запись; заменить полевым материалом,демо-данные для интерфейса,2026
Удмуртская Республика,Алнашский район,Алнаши,село,56.1873,52.4794,южная лесостепь,ДАРЯ,ДАРЯ: морфология,2,Тип безударного вокализма после твёрдых согласных,оканье,,,демонстрационная запись; заменить полевым материалом,демо-данные для интерфейса,2026
Удмуртская Республика,Алнашский район,Алнаши,село,56.1873,52.4794,южная лесостепь,ДАРЯ,ДАРЯ: синтаксис,3,Окончание 3 л. мн. ч. настоящего времени,вариативное окончание,,,демонстрационная запись; заменить полевым материалом,демо-данные для интерфейса,2026
Удмуртская Республика,Алнашский район,Алнаши,село,56.1873,52.4794,южная лесостепь,ЛАРНГ,ЛАРНГ: лексика / природа,1,Название открытого места в лесу,поляна,,,демонстрационная запись; заменить полевым материалом,демо-данные для интерфейса,2026
Удмуртская Республика,Алнашский район,Алнаши,село,56.1873,52.4794,южная лесостепь,ЛАРНГ,ЛАРНГ: лексика / человек,2,Название сильного дождя,косохлёст,,,демонстрационная запись; заменить полевым материалом,демо-данные для интерфейса,2026
Удмуртская Республика,Алнашский район,Алнаши,село,56.1873,52.4794,южная лесостепь,ЛАРНГ,ЛАРНГ: лексика / материальная культура,3,Название традиционного сельского дома,дом,изба,,демонстрационная запись; заменить полевым материалом,демо-данные для интерфейса,2026
Удмуртская Республика,Балезинский район,Балезино,посёлок,57.9796,53.0138,Вятско-Камское междуречье,ДАРЯ,ДАРЯ: фонетика,1,Произношение согласного /г/ в интервокальной позиции,[ɣ] фрикативный,,,демонстрационная запись; заменить полевым материалом,демо-данные для интерфейса,2026
Удмуртская Республика,Балезинский район,Балезино,посёлок,57.9796,53.0138,Вятско-Камское междуречье,ДАРЯ,ДАРЯ: морфология,2,Тип безударного вокализма после твёрдых согласных,смешанный тип,,,демонстрационная запись; заменить полевым материалом,демо-данные для интерфейса,2026
Удмуртская Республика,Балезинский район,Балезино,посёлок,57.9796,53.0138,Вятско-Камское междуречье,ДАРЯ,ДАРЯ: синтаксис,3,Окончание 3 л. мн. ч. настоящего времени,-ут/-ют,,,демонстрационная запись; заменить полевым материалом,демо-данные для интерфейса,2026
Удмуртская Республика,Балезинский район,Балезино,посёлок,57.9796,53.0138,Вятско-Камское междуречье,ЛАРНГ,ЛАРНГ: лексика / природа,1,Название открытого места в лесу,ляда,,,демонстрационная запись; заменить полевым материалом,демо-данные для интерфейса,2026
